trial_number,drug_id,start_char,end_char,recognised_text
ACTRN12605000222640,DB04240,706,709,DXA
ACTRN12605000222640,DB11094,741,750,vitamin D
ACTRN12605000222640,DB01373,755,762,calcium
ACTRN12605000222640,DB00884,807,818,risedronate
ACTRN12605000222640,DB00884,952,963,risedronate
ACTRN12605000222640,DB04465,1023,1030,lactose
ACTRN12605000222640,DB04240,1077,1080,DXA
ACTRN12605000222640,DB11094,1088,1097,Vitamin D
ACTRN12605000222640,DB01373,1102,1109,calcium
ACTRN12605000222640,DB00884,1307,1318,risedronate
ACTRN12605000222640,DB04240,1339,1342,DXA
ACTRN12605000222640,DB00884,1350,1361,Risedronate
ACTRN12605000223639,DB00230,12,22,pregabalin
ACTRN12605000229673,DB00207,145,157,azithromycin
ACTRN12605000231640,DB00633,0,15,Dexmedetomidine
ACTRN12605000233628,DB11218,0,12,Tea tree oil
ACTRN12605000234617,DB10527,71,79,cucumber
ACTRN12605000234617,DB10527,237,245,cucumber
ACTRN12605000234617,DB10527,288,296,cucumber
ACTRN12605000236695,DB00073,6,15,rituximab
ACTRN12605000236695,DB00073,125,134,rituximab
ACTRN12605000237684,DB05441,28,32,AVAC
ACTRN12605000240640,DB01076,0,15,Atorvastatin 40
ACTRN12605000240640,DB01241,19,34,Gemfibrozil 600
ACTRN12605000242628,DB01373,9,16,calcium
ACTRN12605000243617,DB00169,0,10,Vitamin D3
ACTRN12605000243617,DB00169,12,27,cholecalciferol
ACTRN12605000244606,DB00620,126,139,triamcinolone
ACTRN12605000244606,DB00620,635,648,Triamcinolone
ACTRN12605000244606,DB00620,678,691,triamcinolone
ACTRN12605000245695,DB00620,146,159,triamcinolone
ACTRN12605000245695,DB00620,438,451,triamcinolone
ACTRN12605000245695,DB00620,676,689,triamcinolone
ACTRN12605000245695,DB00620,801,814,triamcinolone
ACTRN12605000245695,DB00620,955,968,Triamcinolone
ACTRN12605000245695,DB00620,998,1011,triamcinolone
ACTRN12605000245695,DB00620,1214,1227,triamcinolone
ACTRN12605000245695,DB00693,1315,1326,fluorescein
ACTRN12605000246684,DB00193,0,8,Tramadol
ACTRN12605000246684,DB00193,143,151,tramadol
ACTRN12605000247673,DB00734,46,57,risperidone
ACTRN12605000249651,DB09140,120,126,oxygen
ACTRN12605000250639,DB09270,27,39,Coenzyme Q10
ACTRN12605000251628,DB10500,259,265,Almond
ACTRN12605000251628,DB11218,522,534,Tea tree oil
ACTRN12605000251628,DB11218,593,605,Tea tree oil
ACTRN12605000253606,DB09140,58,64,oxygen
ACTRN12605000254695,DB01356,6,13,lithium
ACTRN12605000256673,DB10687,506,510,Hops
ACTRN12605000256673,DB10527,537,545,Cucumber
ACTRN12605000256673,DB01345,628,637,Potassium
ACTRN12605000260628,DB08604,53,62,triclosan
ACTRN12605000260628,DB08604,70,79,triclosan
ACTRN12605000266662,DB00331,81,90,metformin
ACTRN12605000269639,DB00899,0,12,Remifentanil
ACTRN12605000269639,DB00818,17,25,propofol
ACTRN12605000271606,DB12506,449,452,PAT
ACTRN12605000273684,DB09085,37,48,amethocaine
ACTRN12605000274673,DB01373,12,19,calcium
ACTRN12605000274673,DB01373,47,54,calcium
ACTRN12605000278639,DB00399,32,43,zoledronate
ACTRN12605000280606,DB00125,45,53,arginine
ACTRN12605000280606,DB00435,166,178,nitric oxide
ACTRN12605000280606,DB12506,815,818,PAT
ACTRN12605000282684,DB01217,0,13,Anastrozole 1
ACTRN12605000282684,DB00675,19,28,Tamoxifen
ACTRN12605000282684,DB04465,38,45,lactose
ACTRN12605000283673,DB00624,49,81,Testosterone Replacement Therapy
ACTRN12605000283673,DB00624,97,121,Testosterone Undecanoate
ACTRN12605000285651,DB00813,206,214,fentanyl
ACTRN12605000285651,DB00818,233,241,propofol
ACTRN12605000285651,DB00813,265,273,fentanyl
ACTRN12605000285651,DB00813,334,342,fentanyl
ACTRN12605000285651,DB00818,361,369,propofol
ACTRN12605000286640,DB00118,180,202,same seven week period
ACTRN12605000288628,DB10563,40,44,Rice
ACTRN12605000289617,DB11348,40,57,calcium phosphate
ACTRN12605000289617,DB01378,73,82,magnesium
ACTRN12605000289617,DB03193,83,91,stearate
ACTRN12605000289617,DB01378,142,151,magnesium
ACTRN12605000289617,DB03193,152,160,stearate
ACTRN12605000290695,DB10344,261,267,Ginger
ACTRN12605000292673,DB00327,44,57,hydromorphone
ACTRN12605000292673,DB00813,292,300,Fentanyl
ACTRN12605000295640,DB00092,31,40,alefacept
ACTRN12605000297628,DB00435,365,369,- no
ACTRN12605000299606,DB00586,25,35,Diclofenac
ACTRN12605000299606,DB00482,37,46,Celecoxib
ACTRN12605000299606,DB00213,155,167,Pantoprazole
ACTRN12605000300673,DB06774,55,64,capsaicin
ACTRN12605000302651,DB00650,96,108,folinic acid
ACTRN12605000302651,DB00134,129,139,methionine
ACTRN12605000304639,DB01001,0,10,Salbutamol
ACTRN12605000304639,DB01409,51,61,tiotropium
ACTRN12605000304639,DB01409,213,223,Tiotropium
ACTRN12605000305628,DB00860,30,42,Prednisolone
ACTRN12605000308695,DB00264,0,13,Metoprolol CR
ACTRN12605000309684,DB06690,47,60,nitrous oxide
ACTRN12605000309684,DB01236,97,108,sevoflurane
ACTRN12605000310662,DB11135,39,47,selenium
ACTRN12605000310662,DB11135,267,275,selenium
ACTRN12605000310662,DB11135,341,349,selenium
ACTRN12605000310662,DB10516,362,374,Milk protein
ACTRN12605000310662,DB11135,535,543,selenium
ACTRN12605000311651,DB00331,47,56,metformin
ACTRN12605000316606,DB01229,51,72,Paclitaxel 40mg/m2 IV
ACTRN12605000316606,DB00361,77,88,Vinorelbine
ACTRN12605000318684,DB01211,0,18,Clarithromycin 500
ACTRN12605000320651,DB00641,15,26,simvastatin
ACTRN12605000321640,DB00435,38,50,nitric oxide
ACTRN12605000322639,DB01238,34,46,Aripiprazole
ACTRN12605000323628,DB06402,0,22,Telavancin 10 mg/kg IV
ACTRN12605000324617,DB06402,0,13,Telavancin 10
ACTRN12605000327684,DB00813,0,8,Fentanyl
ACTRN12605000327684,DB00813,504,512,fentanyl
ACTRN12605000327684,DB00813,941,949,fentanyl
ACTRN12605000327684,DB00813,983,991,fentanyl
ACTRN12605000327684,DB00813,1223,1231,fentanyl
ACTRN12605000327684,DB00316,1273,1284,paracetamol
ACTRN12605000330640,DB01105,0,11,Sibutramine
ACTRN12605000340639,DB08604,87,96,triclosan
ACTRN12605000341628,DB01592,46,50,iron
ACTRN12605000341628,DB01593,52,56,zinc
ACTRN12605000341628,DB00162,58,67,vitamin A
ACTRN12605000341628,DB05382,73,79,iodine
ACTRN12605000341628,DB10563,133,137,rice
ACTRN12605000342617,DB00316,46,57,paracetamol
ACTRN12605000345684,DB05382,30,36,iodine
ACTRN12605000345684,DB05382,61,67,iodine
ACTRN12605000347662,DB00296,54,65,ropivacaine
ACTRN12605000347662,DB00296,454,465,ropivacaine
ACTRN12605000347662,DB00295,560,568,Morphine
ACTRN12605000347662,DB03088,569,572,PCA
ACTRN12605000347662,DB00193,574,582,Tramadol
ACTRN12605000347662,DB00465,584,593,Ketorolac
ACTRN12605000350628,DB04899,52,55,BNP
ACTRN12605000350628,DB04899,233,236,BNP
ACTRN12605000350628,DB04899,286,289,BNP
ACTRN12605000350628,DB04899,408,411,BNP
ACTRN12605000355673,DB00531,293,309,cyclophosphamide
ACTRN12605000355673,DB00563,314,326,methotrexate
ACTRN12605000355673,DB00531,1161,1177,cyclophosphamide
ACTRN12605000355673,DB00563,1207,1219,methotrexate
ACTRN12605000359639,DB00762,0,10,Irinotecan
ACTRN12605000359639,DB00762,18,28,irinotecan
ACTRN12605000359639,DB00544,31,35,5-FU
ACTRN12605000359639,DB00650,36,46,leucovorin
ACTRN12605000361606,DB00441,0,11,Gemcitabine
ACTRN12605000361606,DB00544,15,19,5-FU
ACTRN12605000361606,DB00650,20,30,leucovorin
ACTRN12605000362695,DB00151,123,131,cysteine
ACTRN12605000363684,DB00151,119,127,cysteine
ACTRN12605000364673,DB01373,30,37,Calcium
ACTRN12605000364673,DB01378,42,51,magnesium
ACTRN12605000364673,DB01373,83,90,Calcium
ACTRN12605000364673,DB01378,95,104,magnesium
ACTRN12605000366651,DB00295,5,13,morphine
ACTRN12605000366651,DB00497,17,26,oxycodone
ACTRN12605000368639,DB11135,106,114,selenium
ACTRN12605000368639,DB05382,116,122,iodine
ACTRN12605000368639,DB11135,124,132,selenium
ACTRN12605000368639,DB05382,135,141,iodine
ACTRN12605000368639,DB11135,207,215,Selenium
ACTRN12605000368639,DB05382,217,223,iodine
ACTRN12605000371695,DB00788,33,41,naproxen
ACTRN12605000371695,DB01050,66,75,ibuprofen
ACTRN12605000371695,DB00482,98,107,celecoxib
ACTRN12605000371695,DB00328,137,149,indomethacin
ACTRN12605000371695,DB01600,181,197,tiaprofenic acid
ACTRN12605000371695,DB00259,212,214,SA
ACTRN12605000371695,DB00605,226,234,sulindac
ACTRN12605000371695,DB00945,260,267,aspirin
ACTRN12605000371695,DB00945,352,359,aspirin
ACTRN12605000373673,DB00184,59,67,Nicotine
ACTRN12605000375651,DB00531,5,21,cyclophosphamide
ACTRN12605000375651,DB01101,38,50,capecitabine
ACTRN12605000377639,DB01101,0,12,Capecitabine
ACTRN12605000377639,DB01101,42,54,capecitabine
ACTRN12605000377639,DB00531,75,91,cyclophosphamide
ACTRN12605000380695,DB01073,216,227,fludarabine
ACTRN12605000380695,DB00099,677,682,G-CSF
ACTRN12605000381684,DB01104,7,17,Sertraline
ACTRN12605000383662,DB00898,41,48,ethanol
ACTRN12605000383662,DB00898,127,134,Ethanol
ACTRN12605000383662,DB01109,138,145,Heparin
ACTRN12605000386639,DB00695,5,14,frusemide
ACTRN12605000386639,DB00695,219,228,frusemide
ACTRN12605000386639,DB00695,253,262,frusemide
ACTRN12605000389606,DB00990,464,474,exemestane
ACTRN12605000389606,DB01217,479,490,anastrozole
ACTRN12605000389606,DB00990,963,976,Exemestane 25
ACTRN12605000389606,DB01217,984,997,Anastrozole 1
ACTRN12605000390684,DB01248,12,21,docetaxel
ACTRN12605000391673,DB00598,586,595,labetolol
ACTRN12605000391673,DB00264,611,621,metoprolol
ACTRN12605000391673,DB01275,632,643,hydralazine
ACTRN12605000393651,DB00338,0,10,Omeprazole
ACTRN12605000394640,DB01238,41,53,Aripiprazole
ACTRN12605000396628,DB00073,55,64,rituximab
ACTRN12605000397617,DB00435,144,156,nitric oxide
ACTRN12605000400662,DB09140,1067,1073,oxygen
ACTRN12605000400662,DB00134,2583,2586,met
ACTRN12605000400662,DB00134,2612,2615,met
ACTRN12605000400662,DB00134,2903,2906,met
ACTRN12605000404628,DB00149,53,59,L     
ACTRN12605000407695,DB01050,286,295,ibuprofen
ACTRN12605000407695,DB00316,300,311,paracetamol
ACTRN12605000407695,DB00904,444,455,ondansetron
ACTRN12605000407695,DB01233,459,473,metoclopramide
ACTRN12605000407695,DB00318,499,506,codeine
ACTRN12605000412639,DB11142,0,16,Selenomethionine
ACTRN12605000413628,DB00296,40,51,ropivacaine
ACTRN12605000416695,DB00644,365,369,GnRH
ACTRN12605000416695,DB06825,380,391,triptorelin
ACTRN12605000416695,DB00675,445,454,tamoxifen
ACTRN12605000416695,DB00675,469,478,tamoxifen
ACTRN12605000416695,DB00990,723,733,exemestane
ACTRN12605000416695,DB00990,841,851,exemestane
ACTRN12605000416695,DB00675,857,866,tamoxifen
ACTRN12605000416695,DB00990,924,934,exemestane
ACTRN12605000416695,DB00675,974,983,tamoxifen
ACTRN12605000416695,DB00675,1289,1298,Tamoxifen
ACTRN12605000416695,DB00675,1333,1342,tamoxifen
ACTRN12605000416695,DB00990,1377,1387,exemestane
ACTRN12605000418673,DB00644,349,353,GnRH
ACTRN12605000418673,DB00990,369,379,exemestane
ACTRN12605000418673,DB00644,394,398,GnRH
ACTRN12605000418673,DB00675,413,422,tamoxifen
ACTRN12605000418673,DB00644,608,612,GnRH
ACTRN12605000418673,DB06825,981,992,triptorelin
ACTRN12605000418673,DB00675,996,1005,Tamoxifen
ACTRN12605000418673,DB06825,1040,1051,triptorelin
ACTRN12605000418673,DB00990,1055,1065,Exemestane
ACTRN12605000419662,DB00675,466,475,tamoxifen
ACTRN12605000419662,DB00990,479,489,exemestane
ACTRN12605000419662,DB00644,610,614,GnRH
ACTRN12605000419662,DB00675,701,710,tamoxifen
ACTRN12605000419662,DB00990,714,724,exemestane
ACTRN12605000419662,DB06825,1221,1232,triptorelin
ACTRN12605000419662,DB00675,1236,1246,Tamoxifen/
ACTRN12605000419662,DB00990,1246,1260,Exemestane  b.
ACTRN12605000419662,DB06825,1291,1302,triptorelin
ACTRN12605000419662,DB00675,1306,1316,Tamoxifen/
ACTRN12605000419662,DB00990,1316,1328,Exemestane  
ACTRN12605000420640,DB09140,31,37,oxygen
ACTRN12605000420640,DB09140,67,73,oxygen
ACTRN12605000420640,DB09140,122,128,oxygen
ACTRN12605000429651,DB00615,26,35,rifabutin
ACTRN12605000429651,DB01211,37,51,clarithromycin
ACTRN12605000432617,DB04915,0,11,Phenoxodiol
ACTRN12605000432617,DB00515,73,82,cisplatin
ACTRN12605000432617,DB00958,84,95,carboplatin
ACTRN12605000432617,DB01229,99,109,paclitaxel
ACTRN12605000433606,DB09270,87,99,coenzyme Q10
ACTRN12605000433606,DB00130,111,116,Q-Gel
ACTRN12605000433606,DB09270,172,184,coenzyme Q10
ACTRN12605000433606,DB00130,196,201,Q-Gel
ACTRN12605000433606,DB09270,257,269,coenzyme Q10
ACTRN12605000433606,DB00130,281,286,Q-Gel
ACTRN12605000433606,DB09270,343,355,coenzyme Q10
ACTRN12605000433606,DB00130,367,372,Q-Gel
ACTRN12605000433606,DB09270,676,688,coenzyme Q10
ACTRN12605000433606,DB04540,722,733,cholesterol
ACTRN12605000433606,DB04540,748,759,cholesterol
ACTRN12605000434695,DB06756,111,126,glycine betaine
ACTRN12605000434695,DB00134,147,157,methionine
ACTRN12605000435684,DB05258,10,25,interferon alfa
ACTRN12605000435684,DB00811,30,39,ribavirin
ACTRN12605000436673,DB00709,11,21,Lamivudine
ACTRN12605000438651,DB00624,0,12,Testosterone
ACTRN12605000442606,DB00143,265,276,glutathione
ACTRN12605000442606,DB00134,329,333,M-FP
ACTRN12605000443695,DB00860,0,12,Prednisolone
ACTRN12605000447651,DB06709,198,204,MCH ED
ACTRN12605000447651,DB01234,343,356,dexamethasone
ACTRN12605000447651,DB01234,372,385,dexamethasone
ACTRN12605000447651,DB00860,400,412,prednisolone
ACTRN12605000447651,DB00668,825,835,adrenaline
ACTRN12605000453684,DB04915,0,11,Phenoxodiol
ACTRN12605000453684,DB00515,56,65,cisplatin
ACTRN12605000453684,DB00958,69,80,carboplatin
ACTRN12605000457640,DB09140,117,123,oxygen
ACTRN12605000459628,DB00586,78,88,diclofenac
ACTRN12605000460606,DB00099,42,47,G-CSF
ACTRN12605000464662,DB01229,0,10,Paclitaxel
ACTRN12605000464662,DB09327,12,15,UFT
ACTRN12605000464662,DB00650,20,30,Leucovorin
ACTRN12605000465651,DB00938,456,466,salmeterol
ACTRN12605000465651,DB01001,716,726,salbutamol
ACTRN12605000466640,DB00149,144,147,L  
ACTRN12605000468628,DB00783,0,34,Estradiol Metered-Dose Transdermal
ACTRN12605000473662,DB00742,217,225,mannitol
ACTRN12605000473662,DB00742,276,284,mannitol
ACTRN12605000473662,DB00742,503,511,mannitol
ACTRN12605000473662,DB11242,532,539,gelatin
ACTRN12605000473662,DB11242,561,568,gelatin
ACTRN12605000473662,DB04465,593,600,lactose
ACTRN12605000473662,DB00742,801,809,mannitol
ACTRN12605000476639,DB00482,137,146,celecoxib
ACTRN12605000476639,DB00316,197,208,paracetamol
ACTRN12605000476639,DB00482,481,490,celecoxib
ACTRN12605000476639,DB00482,585,594,celecoxib
ACTRN12605000477628,DB00317,90,97,ZD 1839
ACTRN12605000478617,DB00445,51,61,epirubicin
ACTRN12605000478617,DB00531,62,78,cyclophosphamide
ACTRN12605000478617,DB00099,111,121,Filgrastim
ACTRN12605000478617,DB00445,174,184,epirubicin
ACTRN12605000478617,DB00531,185,201,cyclophosphamide
ACTRN12605000479606,DB00996,90,100,gabapentin
ACTRN12605000479606,DB00996,193,203,gabapentin
ACTRN12605000479606,DB00996,816,826,gabapentin
