actrnumber,study_title,interventions,intervention_codes,eligibity_inclusive,eligibity_exclusive
ACTRN12605000072617,Glivec plus chemotherapy in blast-phase CML and Ph+ ALL,Combined therapy with Glivec for Philadelphia-chromosome positive leukemias.,CODE: Treatment: drugs,"1. Patients with a confirmed diagnosis of Ph+ CML in myeloid or lymphoid blast crisis, defined by the presence of the Philadelphia chromosome or Bcr-Abl fusion transcript and one or both of the following: i) >30% blasts in peripheral blood and/or bone marrow ii) Presence of extramedullary disease other than spleen and/or liver involvement (i.e. chloromas) OR Patients with a confirmed diagnosis of Ph+ ALL 2. Patients of childbearing potential must have a negative pregnancy test prior to the initiation of therapy. Male and female patients agree to employ an effective barrier method of birth control throughout the study and for up to 3 months following the discontinuation of Glivec. 3. Written informed consent.","1. Exposure to any other investigational agents within 30 days of commencing Glivec 2. Known sensitivity to Glivec or the phenylaminopyrimidine class of drugs 3. ECOG Performance Status Score > 2 (Appendix 1) 4. Left ventricular ejection fraction < 50% on a radionuclide cardiac scan or echocardiogram 5. Creatinine > 1.5 Â´ the upper limit of normal (ULN) at the laboratory where the analysis was performed 6. Serum bilirubin > 2 Â´ ULN 7. AST or ALT  > 2.5 Â´ ULN. In patients with suspected leukaemic involvement of the liver, AST or ALT > 5 Â´ ULN. 8. Known HIV seropositivity 9. Any serious concomitant medical condition that could, in the opinion of the Investigator, compromise participation in the study 10. Pregnancy or breastfeeding 11. Dementia, intellectual impairment or any other psychiatric disorder that prohibits the patient from understanding and giving informed consent."
ACTRN12605000073606,A non-randomised trial evaluating in-field control following the addition of involved-field radiotherapy to transplantation for patients with Hodgkins Disease and non-Hodgkins Lymphoma: An ALLG/TROG Prospective Multicentre Study,A prospective non randomised trial evaluating the rate of in-field failure in patients having protocol radiotherapy with transplantation for Hodgkin's and non-Hodgkin's lymphoma.,CODE: Treatment: Other,"1. Histological diagnosis of HD or NHL other than follicular grade I-II, small lymphocytic and marginal zone lymphoma; 2. Failure to achieve CR with first line therapy, or relapse after CR to first line therapy*; 3. No more than 2 lines (ie regimens) of cytoreduction chemotherapy; 4. At least a 50% reduction in the sum of products of tumour diameters following cytoreduction chemotherapy (NHL only); 5. Sites of failure confined to lymph nodes, spleen, Waldeyer's ring and limited extra-nodal sites (solitary soft tissue deposit or single bone or one kidney or extension from nodal site into contiguous lung, pleura, pericardium, neural structure or liver) that can be treated within a tolerable RT field (histological evidence of bone marrow relapse is also permissible); 6. Sites of failure are adequately documented for RT planning; 7. The patient is planned to undergo autologous transplantation; 8. Confirmation of adequate progenitor cell harvest (> 2x106 CD34+ve cells/Kg); 9. The patient's age is at least 18; 10. The patient's ECOG performance status is two or less; 11. The patient has provided written informed consent.","1. Prior dose-limiting RT to site requiring RT; 2. Planned TBI-based conditioning; 3. Sites of failure include haematogenous involvement of lung or liver parenchyma, brain or both kidneys; 4. Sites of failure include diffuse or disseminated involvement of pleura/pericardium, spinal cord/spinal meninges, bone or skin/soft tissue; 5. Any condition which in the opinion of the investigators puts patients at undue risk of RT toxicity; 6. Women who are pregnant or breast feeding 7. Patients who are not using adequate contraception (if relevant)."
ACTRN12605000095662,Australasian Leukaemia and Lymphoma Group Acute Myeloid Leukaemia Trial 12 (ALLG M12),"Comparison of two dose levels of Idarubicin in the consolidation phase of chemotherapy for AML. All patients receive the same induction therapy with Idarubicin, high dose cytarabine, and etoposide. Complete responders are then randomised, and  receive 2 courses of consolidation therapy with conventional dose cytarabine, etoposide, and Idarubicin at either standard dosage (9mg per square metre daily for 2 days) or in the experimental arm 9mg per square metre daily for 3 days.",CODE: Treatment: drugs,"1. A morphological diagnosis of AML by WHO criteria, confirmed by special stains, immunophenotyping and cytogenetics. All clinico-pathological subtypes will be eligible, except for AML with t(15;17) or variants, or core-binding factor AML (t(8;21) or inv16 or variants). 2. ECOG performance status 0 to 3 inclusive. 3. Absence of serious cardiac, pulmonary, hepatic or renal disease. A serum creatinine <200 mmol/L and serum bilirubin < 2.5 times the upper limit of normal, unless medically correctable. 4. Normal left ventricular ejection fraction, according to institutional criteria. If the clinical circumstances require that treatment must be given urgently before this can be ascertained, the absence of clinical cardiac impairment is acceptable, provided that a normal left ventricular ejection fraction is confirmed prior to the first consolidation cycle. 5. No previous treatment for AML or history of cancer (other than basal cell skin cancer or carcinoma of the cervix in situ, or other localized cancer treated by surgical excision only more than 5 years earlier without evidence of recurrence in the intervening period ). 6. No contraindication to the use of the study drugs. 7. Treatment must be given at an affiliated ALLG centre, with approval of the protocol by the institutions Human Ethics Committee, or equivalent body. 8. Written informed consent must be obtained from each patient prior to registration and start of treatment.",No exclusion criteria
ACTRN12605000099628,FEASIBILITY STUDY OF PREOPERATIVE TAC IN CONJUNCTION WITH THE DEVELOPMENT OF A STANDARD PROTOCOL FOR THE MANAGEMENT OF LOCALLY ADVANCED BREAST CANCER,"6 cycles of TAC chemotherapy given pre-operatively and in responding patients, followed by surgery then radiation therapy.",CODE: Treatment: drugs,"Breast cancer T3Nany, T4Nany, N2 or N3 M0, ECOG performance status 0-2, Normal cardiac function.","No metastases, Peripheral neuropathy > grade 2."
ACTRN12605000103662,ALCCaS,Comparing Laparoscopic and Conventional Open Surgical Treatment of Colon Cancer,CODE: Treatment: surgery,"Participating surgeons are free, however, to us their own discretion in deciding whether to offer entry to apparently eligible patients.To be eligible patients must meet all of the following criteria: must have the clinical diagnosis* of a single adenocarcinoma of the ascending (defined as from ileocaecal valve up to and including hepatic flexure), descending (defined as from splenic flexure to junction with sigmoid colon), or sigmoid colon (defined as between descending colon and rectum (at least 15 cm from dentateline) based on the following considerations:physical examination, and colonoscopy or sigmoidoscopy plus barium enema. 18 years of age or older and able to give informed consent. must be able to participate in follow-up evaluations. must not have prohibitive scars/adhesions from previous abdominal surgery (surgeon's discretion).*[DSMB requires standard follow-up irrespective of final pathology].","Any of the following will result in exclusion: advanced local disease, defined as >8cm in diameter or extensive infiltration of adjacent structures, rendering laparoscopic resection not possible (based on clinical examination or preoperative imaging). Dukes'D disease (based on preoperative studies).** rectal cancer (below peritoneal reflection, lower edge of tumour <1 5cm from dentate line as measured by the designated Study Surgeon, using rigid sigmoidoscopy). emergency presentations of colon cancer such as obstruction, perforation ormassive bleeding. transverse colon cancer (defined as between distal hepatic flexure and proximalsplenic flexure). morbid obesity (defined as body mass >35 [weight in kg ¸ height in metresquared]). ASA IV: severe, incapacitating disease. ASA V: imminent danger of death. Associated gastrointestinal diseases that require additional extensive operative evaluation or intervention (e.g. inflammatory bowel disease, familial polyposis). pregnancy. any current or previous malignant tumour (within the previous 5 years) exceptsuperficial squamous or basal cell carcinoma of the skin, or in situ cancer of thecervix.**[In Australia, Dukes' D patients are included as a separate study group. Patients diagnosed preoperatively with disseminated colon cancer, who require resection of the colonic primary for symptomatic relief, will be randomised to colonic resection by laparotomy or laparoscopic assisted technique]."
ACTRN12605000105640,A phase-II study of a modified Hyper-CVAD frontline therapy for patients with poor prognosis diffuse large B-cell and peripheral T-cell non-Hodgkins lymphoma to evaluate safety and improve remission rate.,"A dose and time intensive chemotherapy regimen comprising alternating A and B cycles. A cycles comprise hyperfractionate cyclophosphamide, vincristine, doxorubicin and dexamethasone, and B cycles comprise high-dose methotrexate and high-dose cytosine arabinoside. A total of 6 cycles are to be delivered.",CODE: Treatment: drugs,"(1)Patients with previously untreated mature (post-thymic) T-cell or NK-cell NHL and an IPI score of greater than or equal to 2 OR Patients with previously untreated diffuse large B-cell NHL (2)ECOG performance status 0 to 3 inclusive.(3)A serum creatinine of less than or equal to 0.15 mmol/L. Adequate hepatic function (bilirubin less than or equal to 2.5 x ULN), and haemopoietic indices (haemoglobin greater than or equal to 90, absolute neutrophil count greater than or equal to 1.0, platelets greater than or equal to 100), unless due to lymphomatous infiltration.(4)Seronegativity for antibodies to HIV (see 7.6)(5)Normal left ventricular ejection fraction, according to institutional criteria.(6)Written informed consent ","(1)Prior diagnosis of ""low-grade"" NHL, although patients with discordant bone marrow histology (i.e. small cell lymphomatous infiltrate of marrow) are eligible.(2)Prior treatment for NHL.(3)Past history of serious cardiac, pulmonary, hepatic or renal disease, (4)A past history of cancer (other than non-melanoma skin cancer or carcinoma of the cervix in situ).(5)Contraindication to the use of the study drugs, including known sensitivity to E. Coli derived preparations. This includes agreement to use a medically acceptable and effective means of contraception throughout the treatment period for both male and female patients of childbearing potential.(6)Pregnant women or breast-feeding mothers. History of solid-organ transplantation."
ACTRN12605000106639,Phase II Study of Weekly Oxaliplatin With Continous Infusion Fluorouracil And Concurrent Radiation for Treatment of Localised Oesophageal Carcinoma,"Oxaliplatin is designated chemically as [SP-4-2]-(1R,2R)-(cyclohexane-1,2-diamine-k2N,NÃ¿Â¿Ã¿Â´ (oxalato(2-)-k2O1,O2]platinum (II)
given by intravenous infusion.

This is a single arm open label Phase II study of chemo-radiation of localised oesophageal cancer with Oxaliplatin, continuous infusion fluorouracil and radiation.

The duration of the study participation will include for each patient a 1 week inclusion and treatment planning period, followed by a 6 week treatment period, followed by a minimum of 1 week follow-up for chemotherapy related toxicities after the completion of the study treatment. In addition all patients will be followed for radiation toxicity and disease status for 2 years after the completion of the study treatment.

Treatment Regimen:
*5-fluorouracil via continuous intravenous infusion at the dose of 225mg/m2/day commencing on first day of radiation and continuing until delivery of last radiation fraction.
*Oxaliplatin given by 2-hour intravenous infusion at a dose of 60mg/m2 weekly commencing immediately prior to the commencement of 5-fluorouracil
Radiation-Standard  total 54 to 60 Gy, given daily apart from weekends and public holidays",CODE: Treatment: drugs,"1.Histologically confirmed localised squamous cell carcinoma of the oesophagus or adenocarcinoma of the oesophagus. 2. Performance status 0 or 1. 3. No prior chemotherapy or radiotherapy. 4. Disease evaluated by either CT or endoscopy. 5. Geographically accessible. 6. No other severe medical illness which would contra-indicate the therapy. 7. Life expectancy of greater than 3 months. 8. Bone marrow function showing white cells greater than 3.0x109/L, neutrophils greater than 2.0x109/L, platelets greater than 100x109/L. 9. Creatinine less than 2x upper limit of normal. 10.Adequate methods of contraception.",1. Serious uncontrolled infection 2. Uncontrolled other malignancy 3. Concurrent treatment with other anti-cancer drugs 4. Respiratory function with FEV1 less than 1L 5. Oesophageal-bronchial fistula 6. Pregnancy or Lactation
ACTRN12605000108617,A randomised phase II study of preoperative chemotherapy versus preoperative chemoradiation therapy for resectable carcinoma of the oesophagus and gastro-oesophageal junction,"Surgery, preoperative chemotherapy, preoperative chemoradiation therapy.",CODE: Treatment: surgery::||::CODE: Treatment: drugs::||::CODE: Treatment: Other,"Histologically proven squamus cell carcinoma or adenocarcinoma of the oesophagus or gastro-oesophageal junction, resectable disease, no evidence of extrathoracic or extragastric spread apart from resectable perigastric or mediastinal nodes, adequate haematological & renal function, no previous radiation to the chest, no evidence of tracheo or broncho oesophageal fistula, written informed consent.",No exclusion criteria
ACTRN12605000111673,The IMAP Study Improving Management of Mildly Abnormal Pap Smears,"Women diagnosed with minor atypia following a routine Pap smear will be randomised into one of the three management arms of the study (a) HPV DNA test, (b) a 6 month repeat Pap smear (conventional management), or (c) Decision Aid (DA) with choice of either management. Women who are allocated to the HPV DNA arm and the repeat Pap will receive standard information about their management strategy. Women allocated to the decision aid arm will receive information about HPV DNA testing and 6 month repeat Pap in a decision aid format as an adjunct to usual clinical care and asked to indicate their preference for management. Women in this arm will receive the management strategy of their choice (HPV DNA or repeat Pap). The impact of the Decision Aid will be assessed and psychosocial impact of each management strategy will be followed up over the short, medium and long term.",CODE: None,Women with ONLY the following results on a routine Pap smear low grade epithelial abnormality. Minor changes in squamous cell. Minor changes in squamous cells with appearances consistent with Papillomavirus.,Women who are pregnant or planning to become pregnant in the next 12 months. Women with previous Pap smear abnormality for 2 years.
ACTRN12605000114640,Hypofractionated radiotherapy for the palliation of patients with advanced head and neck cancer who are unsuitable for an attempt at curative treatment,"Hypofractionated radiotherapy, 30 Gray in 5 fractions, optional 6th 5 Gray fraction.",CODE: Treatment: Other,"Biopsy proven squamus cell carcinoma (primary or regional nodal disease) of the head and neck, ineligible for curative treatment, performance status 0-2, life expectanccy of at least 4 months, written informed consent.",No exclusion criteria
ACTRN12605000119695,Randomised Phase II trial of irinotecan with hyaluronic acid (HyCAMP) versus irinotecan as treatment for patients with metastatic colorectal cancer who have failed 5-FU based chemotherapy,"This is an open-label, randomized Phase II study of HyCAMP versus irinotecan as second-line or subsequent-line treatment for metastatic colorectal cancer, for patients who have previously received 5-FU based chemotherapy. The mixture of HA and irinotecan will be given by intravenous infusion on day 1 of a 3-week cycle, up to a maximum of 8 cycles, with the control arm receiving irinotecan alone in the same treatment schedule. The treatment dose of HyCAMP has been shown to be safe in a recently completed Phase I study combining irinotecan with HA.
Patients will be randomized in a 1:1 fashion to either 
1) HyCAMP (irinotecan and HA) or 
2) Control arm (irinotecan)",CODE: Treatment: drugs,"Patients may be included in the study only if they meet ALL of the following criteria:- Diagnosis of locally advanced or metastatic colorectal cancer and present or past histologic documentation of adenocarcinoma of the colon or rectum.-  Failure of previous fluorouracil (or capecitabine) based chemotherapy, defined as progression following fluorouracil-based chemotherapy for metastatic disease, or within 6 months following completion of adjuvant fluorouracil-based chemotherapy.-  At least one measurable lesion must be present.-  ECOG performance status 0 or 1.-  Predicted life expectancy greater than 12 weeks.- Adequate major organ function defined as follows: Bone marrow: Neutrophil count greater than 1.5 x 109/l    Platelet count greater than 100 x 109/l Hepatic:  Serum bilirubin less than 1.25 x ULN    ALT less than 5.0 x ULN Renal:  Creatinine less than 0.2 mmol/l.- Patient accessible for treatment and follow-up.- Written informed consent.","Patients will be excluded from the study for ANY of the following reasons:- Previous exposure to irinotecan (prior oxaliplatin is permitted).- Active inflammatory bowel disease or any chronic diarrhoea greater than Grade 2.- Cerebral metastases.- Bulky disease (>50% hepatic involvement, >25% lung involvement, or abdominal mass greater than 10 cm) due to an increased risk of toxicity.- Radiotherapy within the preceding 4 weeks, unless to a single bone site.- Radiotherapy to > 30% of bone marrow.- Prior radiotherapy to the pelvis.- Presence of pleural effusion or ascites requiring therapeutic thoracocentesis or paracentesis.- Patients with Gilberts syndrome.- Patients receiving treatment with phenobarbitone, St John Wort, phenytoin or valproate.- Partial or complete bowel obstruction.- Concomitant active infection. - Currently active second malignancy, other than non-melanoma skin cancers.- Other severe acute or chronic medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation or study drug administration or may interfere with interpretation of study results. - Pregnant or lactating women or women of childbearing potential not using adequate contraception."
